Province,Region,alternative_name,Transportation_Type,Date,Value
Saskatchewan,Saskatchewan,,driving,2020-02-12,112
Saskatchewan,Saskatchewan,,driving,2020-02-11,111.99
Saskatchewan,Saskatchewan,,driving,2020-01-21,111.91
New Brunswick,New Brunswick,,driving,2020-02-19,111.88
Alberta,Edmonton,,driving,2020-01-16,111.86
Nova Scotia,Nova Scotia,,driving,2020-02-18,111.78
British Columbia,Vancouver,,walking,2020-01-19,111.74
Quebec,Montreal,Montr̩al,driving,2020-02-20,111.72
British Columbia,British Columbia,,driving,2020-02-27,111.72
Alberta,Edmonton,,transit,2020-02-24,111.66
British Columbia,Vancouver,,walking,2020-01-16,111.66
Ontario,Ottawa,,walking,2020-01-23,111.62
Alberta,Edmonton,,transit,2020-02-26,111.57
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-01-30,111.56
Nova Scotia,Nova Scotia,,driving,2020-03-03,111.56
Alberta,Calgary,,driving,2020-02-01,111.52
British Columbia,Vancouver,,driving,2020-02-13,111.52
Alberta,Edmonton,,walking,2020-01-15,111.51
Alberta,Calgary,,transit,2020-01-23,111.5
Quebec,Montreal,Montr̩al,walking,2020-02-07,111.5
British Columbia,British Columbia,,driving,2020-02-26,111.49
New Brunswick,New Brunswick,,driving,2020-02-25,111.49
Saskatchewan,Saskatchewan,,driving,2020-02-05,111.48
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-01-16,111.42
Alberta,Edmonton,,driving,2020-03-05,111.38
Alberta,Edmonton,,transit,2020-03-02,111.38
Alberta,Edmonton,,walking,2020-03-14,111.38
New Brunswick,New Brunswick,,driving,2020-03-11,111.37
Alberta,Calgary,,transit,2020-02-19,111.31
Alberta,Edmonton,,transit,2020-02-07,111.22
Nova Scotia,Nova Scotia,,driving,2020-03-14,111.2
Alberta,Calgary,,driving,2020-02-13,111.16
Saskatchewan,Saskatchewan,,driving,2020-01-20,111.16
Alberta,Alberta,,driving,2020-01-28,111.09
British Columbia,Vancouver,,driving,2020-03-07,111.07
Prince Edward Island,Prince Edward Island,,driving,2020-02-25,111.06
Prince Edward Island,Prince Edward Island,,driving,2020-02-26,111.06
Quebec,Montreal,Montr̩al,walking,2020-01-30,111.04
Ontario,Toronto,,walking,2020-02-19,111
Ontario,Ontario,,driving,2020-03-03,110.96
Quebec,Montreal,Montr̩al,transit,2020-02-29,110.81
Ontario,Ontario,,driving,2020-03-04,110.8
Ontario,Ottawa,,walking,2020-02-25,110.77
Quebec,Montreal,Montr̩al,walking,2020-03-12,110.76
Quebec,Montreal,Montr̩al,transit,2020-01-17,110.74
British Columbia,Vancouver,,walking,2020-03-12,110.71
Quebec,Montreal,Montr̩al,driving,2020-02-22,110.69
Ontario,Toronto,,driving,2020-03-04,110.69
Prince Edward Island,Prince Edward Island,,driving,2020-02-16,110.69
Quebec,Montreal,Montr̩al,driving,2020-01-16,110.64
Ontario,Toronto,,walking,2020-03-08,110.63
British Columbia,Vancouver,,walking,2020-03-14,110.6
Alberta,Alberta,,driving,2020-02-25,110.59
Ontario,Ontario,,driving,2020-02-18,110.59
Alberta,Calgary,,driving,2020-02-18,110.56
Alberta,Calgary,,walking,2020-01-16,110.55
Manitoba,Manitoba,,driving,2020-02-18,110.54
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-03-03,110.52
Manitoba,Manitoba,,driving,2020-02-19,110.5
Quebec,Quebec,Qu̩bec,driving,2020-01-16,110.5
Ontario,Toronto,,driving,2020-02-19,110.47
Quebec,Quebec,Qu̩bec,driving,2020-02-12,110.44
Alberta,Alberta,,driving,2020-03-03,110.36
Quebec,Montreal,Montr̩al,transit,2020-02-08,110.31
Ontario,Ontario,,driving,2020-01-25,110.28
Alberta,Edmonton,,walking,2020-03-01,110.24
Yukon Territory,Yukon Territory,,driving,2020-01-17,110.24
Alberta,Calgary,,transit,2020-02-12,110.22
British Columbia,Vancouver,,driving,2020-03-04,110.2
Ontario,Ottawa,,walking,2020-02-12,110.18
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-11,110.18
Nova Scotia,Nova Scotia,,driving,2020-02-26,110.17
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-01-15,110.15
Quebec,Montreal,Montr̩al,driving,2020-02-01,110.1
New Brunswick,New Brunswick,,driving,2020-02-11,110.08
Yukon Territory,Yukon Territory,,driving,2020-02-17,110.06
Manitoba,Manitoba,,driving,2020-03-04,110.02
Nova Scotia,Nova Scotia,,driving,2020-02-19,110.02
Quebec,Montreal,Montr̩al,walking,2020-02-25,110.01
British Columbia,British Columbia,,driving,2020-01-22,109.96
Manitoba,Manitoba,,driving,2020-01-23,109.93
Alberta,Edmonton,,transit,2020-02-25,109.92
British Columbia,British Columbia,,driving,2020-02-06,109.9
Manitoba,Manitoba,,driving,2020-03-03,109.9
New Brunswick,New Brunswick,,driving,2020-03-13,109.85
Alberta,Calgary,,driving,2020-02-19,109.84
Ontario,Toronto,,driving,2020-02-01,109.83
Ontario,Ontario,,driving,2020-02-19,109.82
Alberta,Calgary,,walking,2020-02-03,109.81
Quebec,Montreal,Montr̩al,driving,2020-02-11,109.81
Quebec,Montreal,Montr̩al,driving,2020-02-12,109.81
Quebec,Montreal,Montr̩al,transit,2020-03-04,109.8
Ontario,Ottawa,,transit,2020-02-07,109.79
Ontario,Ottawa,,walking,2020-03-03,109.77
Alberta,Calgary,,walking,2020-01-14,109.75
Prince Edward Island,Prince Edward Island,,driving,2020-03-05,109.72
Manitoba,Manitoba,,driving,2020-01-18,109.71
New Brunswick,New Brunswick,,driving,2020-02-24,109.68
Manitoba,Manitoba,,driving,2020-01-15,109.64
Ontario,Toronto,,walking,2020-01-23,109.61
Alberta,Edmonton,,transit,2020-02-10,109.6
Saskatchewan,Saskatchewan,,driving,2020-03-02,109.47
Ontario,Toronto,,transit,2020-01-24,109.45
British Columbia,British Columbia,,driving,2020-02-12,109.44
Prince Edward Island,Prince Edward Island,,driving,2020-02-04,109.39
Alberta,Edmonton,,driving,2020-03-04,109.35
British Columbia,Vancouver,,driving,2020-03-05,109.35
Quebec,Quebec,Qu̩bec,driving,2020-02-07,109.35
Manitoba,Manitoba,,driving,2020-01-22,109.34
Alberta,Calgary,,transit,2020-03-03,109.33
Quebec,Quebec,Qu̩bec,driving,2020-01-23,109.23
Quebec,Montreal,Montr̩al,walking,2020-03-09,109.21
Ontario,Toronto,,walking,2020-01-15,109.14
Alberta,Edmonton,,driving,2020-01-28,109.13
Quebec,Montreal,Montr̩al,transit,2020-02-12,109.11
Ontario,Ottawa,,walking,2020-02-20,109.11
New Brunswick,New Brunswick,,driving,2020-03-14,109.11
Manitoba,Manitoba,,driving,2020-02-06,109.09
Alberta,Alberta,,driving,2020-01-20,109.02
Alberta,Calgary,,transit,2020-03-05,108.98
Ontario,Toronto,,walking,2020-02-16,108.96
Alberta,Edmonton,,driving,2020-02-26,108.94
Quebec,Montreal,Montr̩al,transit,2020-01-23,108.94
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-01-28,108.94
Alberta,Edmonton,,driving,2020-01-20,108.93
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-03-12,108.88
Nova Scotia,Nova Scotia,,driving,2020-02-16,108.83
Prince Edward Island,Prince Edward Island,,driving,2020-01-30,108.82
Quebec,Quebec,Qu̩bec,driving,2020-03-02,108.82
Prince Edward Island,Prince Edward Island,,driving,2020-03-13,108.8
New Brunswick,New Brunswick,,driving,2020-02-12,108.79
Prince Edward Island,Prince Edward Island,,driving,2020-02-19,108.78
Ontario,Ottawa,,driving,2020-02-18,108.77
Alberta,Alberta,,driving,2020-02-16,108.73
Saskatchewan,Saskatchewan,,driving,2020-02-10,108.72
Quebec,Montreal,Montr̩al,transit,2020-01-16,108.68
Quebec,Montreal,Montr̩al,transit,2020-02-15,108.67
British Columbia,Vancouver,,driving,2020-02-01,108.66
New Brunswick,New Brunswick,,driving,2020-02-17,108.65
Ontario,Ottawa,,driving,2020-03-03,108.64
British Columbia,Vancouver,,driving,2020-01-22,108.64
British Columbia,British Columbia,,driving,2020-01-21,108.63
Nova Scotia,Nova Scotia,,driving,2020-03-02,108.62
Quebec,Montreal,Montr̩al,walking,2020-01-28,108.6
Saskatchewan,Saskatchewan,,driving,2020-02-24,108.59
Ontario,Toronto,,transit,2020-03-05,108.56
Alberta,Edmonton,,driving,2020-03-03,108.45
Quebec,Montreal,Montr̩al,driving,2020-01-23,108.45
British Columbia,Vancouver,,walking,2020-03-02,108.45
Alberta,Alberta,,driving,2020-02-05,108.44
British Columbia,Vancouver,,driving,2020-02-18,108.41
Manitoba,Manitoba,,driving,2020-03-11,108.41
Alberta,Calgary,,transit,2020-02-25,108.4
British Columbia,Vancouver,,driving,2020-01-25,108.37
Quebec,Montreal,Montr̩al,transit,2020-03-03,108.35
Quebec,Montreal,Montr̩al,transit,2020-02-06,108.33
Ontario,Toronto,,walking,2020-01-14,108.27
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-03-09,108.26
Yukon Territory,Yukon Territory,,driving,2020-03-10,108.25
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-03-10,108.23
Alberta,Calgary,,transit,2020-02-04,108.22
Ontario,Ottawa,,walking,2020-01-17,108.22
Alberta,Calgary,,driving,2020-02-27,108.2
Ontario,Ottawa,,transit,2020-01-31,108.2
Quebec,Quebec,Qu̩bec,driving,2020-02-11,108.18
Alberta,Edmonton,,transit,2020-01-27,108.12
Saskatchewan,Saskatchewan,,driving,2020-01-27,108.11
British Columbia,British Columbia,,driving,2020-02-25,108.09
Ontario,Ottawa,,driving,2020-03-04,108.05
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-25,108.05
British Columbia,Vancouver,,walking,2020-03-10,108.03
Alberta,Edmonton,,transit,2020-02-03,108.01
Quebec,Montreal,Montr̩al,walking,2020-03-02,107.97
Nova Scotia,Nova Scotia,,driving,2020-01-30,107.97
British Columbia,British Columbia,,driving,2020-02-16,107.96
Alberta,Edmonton,,transit,2020-02-18,107.93
Quebec,Montreal,Montr̩al,driving,2020-01-25,107.93
Ontario,Ottawa,,walking,2020-01-15,107.93
Alberta,Calgary,,driving,2020-03-07,107.91
Alberta,Alberta,,driving,2020-02-04,107.91
Ontario,Toronto,,walking,2020-02-18,107.88
Alberta,Alberta,,driving,2020-01-16,107.88
Manitoba,Manitoba,,driving,2020-01-29,107.86
Prince Edward Island,Prince Edward Island,,driving,2020-02-13,107.84
Quebec,Montreal,Montr̩al,transit,2020-02-11,107.83
Ontario,Toronto,,driving,2020-02-08,107.83
New Brunswick,New Brunswick,,driving,2020-01-28,107.83
Ontario,Ontario,,driving,2020-01-16,107.74
Alberta,Calgary,,transit,2020-02-18,107.73
Alberta,Calgary,,walking,2020-01-15,107.73
Quebec,Montreal,Montr̩al,walking,2020-03-10,107.72
British Columbia,Vancouver,,driving,2020-01-21,107.72
Quebec,Quebec,Qu̩bec,driving,2020-01-18,107.72
Alberta,Calgary,,transit,2020-02-27,107.69
Ontario,Ottawa,,walking,2020-01-16,107.67
Prince Edward Island,Prince Edward Island,,driving,2020-01-14,107.65
Alberta,Alberta,,driving,2020-03-11,107.63
Prince Edward Island,Prince Edward Island,,driving,2020-03-12,107.63
Nova Scotia,Nova Scotia,,driving,2020-01-15,107.57
Quebec,Montreal,Montr̩al,driving,2020-02-29,107.55
Manitoba,Manitoba,,driving,2020-01-14,107.55
New Brunswick,New Brunswick,,driving,2020-01-21,107.55
Alberta,Calgary,,driving,2020-01-30,107.49
Quebec,Montreal,Montr̩al,transit,2020-01-28,107.47
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-03-04,107.47
Alberta,Calgary,,driving,2020-01-23,107.43
British Columbia,Vancouver,,driving,2020-02-27,107.42
Ontario,Toronto,,walking,2020-01-30,107.41
Ontario,Toronto,,walking,2020-01-16,107.4
Alberta,Calgary,,transit,2020-02-24,107.37
Quebec,Montreal,Montr̩al,walking,2020-01-22,107.28
Alberta,Calgary,,driving,2020-01-18,107.23
Ontario,Toronto,,driving,2020-01-16,107.2
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-05,107.2
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-18,107.18
Alberta,Edmonton,,driving,2020-02-25,107.17
Alberta,Alberta,,driving,2020-03-10,107.17
Ontario,Ottawa,,driving,2020-01-23,107.11
Manitoba,Manitoba,,driving,2020-01-16,107.11
New Brunswick,New Brunswick,,driving,2020-01-22,107.11
Manitoba,Manitoba,,driving,2020-03-12,107.1
Alberta,Edmonton,,transit,2020-02-20,107.09
Quebec,Montreal,Montr̩al,driving,2020-01-22,107.09
Quebec,Quebec,Qu̩bec,driving,2020-02-18,107.08
Ontario,Toronto,,transit,2020-01-31,107.06
Quebec,Montreal,Montr̩al,transit,2020-01-22,107.05
Manitoba,Manitoba,,driving,2020-03-10,107.04
British Columbia,Vancouver,,transit,2020-02-29,106.99
Ontario,Toronto,,walking,2020-02-24,106.95
Alberta,Calgary,,driving,2020-03-05,106.94
Alberta,Edmonton,,driving,2020-02-05,106.93
Quebec,Quebec,Qu̩bec,driving,2020-01-30,106.93
Ontario,Ontario,,driving,2020-01-30,106.91
British Columbia,Vancouver,,driving,2020-02-06,106.86
Ontario,Toronto,,walking,2020-01-22,106.82
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-04,106.81
Prince Edward Island,Prince Edward Island,,driving,2020-02-17,106.81
Nova Scotia,Nova Scotia,,driving,2020-02-23,106.8
Quebec,Quebec,Qu̩bec,driving,2020-02-17,106.8
Yukon Territory,Yukon Territory,,driving,2020-03-20,106.8
Alberta,Calgary,,transit,2020-01-27,106.79
Ontario,Toronto,,walking,2020-02-23,106.78
Manitoba,Manitoba,,driving,2020-02-25,106.78
British Columbia,British Columbia,,driving,2020-03-03,106.73
Quebec,Montreal,Montr̩al,transit,2020-02-19,106.72
New Brunswick,New Brunswick,,driving,2020-02-05,106.72
Quebec,Montreal,Montr̩al,driving,2020-01-15,106.71
Nova Scotia,Nova Scotia,,driving,2020-01-22,106.71
Ontario,Ottawa,,transit,2020-01-24,106.7
Manitoba,Manitoba,,driving,2020-01-21,106.7
Ontario,Ottawa,,walking,2020-01-28,106.69
Quebec,Montreal,Montr̩al,driving,2020-02-18,106.67
Alberta,Calgary,,transit,2020-02-10,106.64
British Columbia,Vancouver,,driving,2020-02-26,106.61
Alberta,Calgary,,driving,2020-03-04,106.58
Alberta,Calgary,,driving,2020-01-22,106.57
New Brunswick,New Brunswick,,driving,2020-02-09,106.54
Ontario,Ontario,,driving,2020-01-23,106.54
British Columbia,Vancouver,,walking,2020-02-02,106.51
British Columbia,British Columbia,,driving,2020-01-30,106.51
Manitoba,Manitoba,,driving,2020-01-20,106.51
Manitoba,Manitoba,,driving,2020-02-11,106.51
Quebec,Montreal,Montr̩al,driving,2020-03-04,106.48
New Brunswick,New Brunswick,,driving,2020-03-01,106.48
Alberta,Edmonton,,driving,2020-03-10,106.45
Nova Scotia,Nova Scotia,,driving,2020-03-12,106.44
Ontario,Toronto,,transit,2020-02-14,106.43
Prince Edward Island,Prince Edward Island,,driving,2020-01-21,106.4
Quebec,Quebec,Qu̩bec,driving,2020-03-11,106.39
Ontario,Toronto,,driving,2020-01-25,106.37
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-01-14,106.33
British Columbia,Vancouver,,driving,2020-02-12,106.29
British Columbia,British Columbia,,driving,2020-01-20,106.26
Nova Scotia,Nova Scotia,,driving,2020-03-11,106.21
Alberta,Edmonton,,driving,2020-02-04,106.16
Ontario,Ottawa,,driving,2020-02-12,106.16
Prince Edward Island,Prince Edward Island,,driving,2020-03-02,106.13
Alberta,Edmonton,,transit,2020-02-21,106.11
Quebec,Montreal,Montr̩al,driving,2020-03-03,106.11
Saskatchewan,Saskatchewan,,driving,2020-02-23,106.1
Manitoba,Manitoba,,driving,2020-02-12,106.09
New Brunswick,New Brunswick,,driving,2020-01-27,106.08
Alberta,Calgary,,transit,2020-02-05,106.07
Quebec,Quebec,Qu̩bec,driving,2020-02-25,106.07
Ontario,Toronto,,walking,2020-02-25,106.05
Ontario,Toronto,,transit,2020-02-20,106.04
British Columbia,Vancouver,,transit,2020-02-21,106.04
Prince Edward Island,Prince Edward Island,,driving,2020-02-07,106.01
Quebec,Montreal,Montr̩al,transit,2020-01-30,105.93
Ontario,Toronto,,walking,2020-02-12,105.93
Quebec,Montreal,Montr̩al,driving,2020-03-10,105.89
Quebec,Montreal,Montr̩al,walking,2020-02-05,105.88
Manitoba,Manitoba,,driving,2020-02-16,105.88
Ontario,Ottawa,,driving,2020-02-19,105.87
Prince Edward Island,Prince Edward Island,,driving,2020-02-09,105.85
Ontario,Ontario,,driving,2020-02-25,105.84
Alberta,Calgary,,transit,2020-02-11,105.83
Ontario,Ottawa,,walking,2020-02-05,105.82
Ontario,Toronto,,driving,2020-01-23,105.81
Ontario,Toronto,,driving,2020-02-25,105.8
Saskatchewan,Saskatchewan,,driving,2020-02-03,105.8
Ontario,Ottawa,,driving,2020-01-22,105.79
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-26,105.76
Ontario,Ottawa,,walking,2020-02-10,105.75
British Columbia,Vancouver,,driving,2020-01-17,105.74
Alberta,Edmonton,,driving,2020-03-11,105.73
Quebec,Montreal,Montr̩al,walking,2020-02-11,105.72
British Columbia,British Columbia,,driving,2020-02-11,105.72
Prince Edward Island,Prince Edward Island,,driving,2020-03-03,105.72
Alberta,Alberta,,driving,2020-03-02,105.71
Yukon Territory,Yukon Territory,,driving,2020-02-23,105.71
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-08,105.7
Quebec,Quebec,Qu̩bec,driving,2020-02-06,105.69
Ontario,Ottawa,,driving,2020-01-16,105.64
Ontario,Toronto,,transit,2020-01-17,105.64
Yukon Territory,Yukon Territory,,driving,2020-02-15,105.62
Nova Scotia,Nova Scotia,,driving,2020-02-05,105.61
Quebec,Quebec,Qu̩bec,driving,2020-01-22,105.6
Ontario,Ottawa,,walking,2020-01-29,105.59
Alberta,Calgary,,transit,2020-02-03,105.57
Ontario,Ottawa,,walking,2020-02-11,105.57
Quebec,Montreal,Montr̩al,transit,2020-01-21,105.56
Manitoba,Manitoba,,driving,2020-03-02,105.47
Ontario,Toronto,,walking,2020-02-11,105.44
Quebec,Quebec,Qu̩bec,driving,2020-01-15,105.44
Yukon Territory,Yukon Territory,,driving,2020-02-09,105.44
Ontario,Ontario,,driving,2020-02-12,105.42
Nova Scotia,Nova Scotia,,driving,2020-03-08,105.4
Ontario,Toronto,,driving,2020-01-14,105.38
Alberta,Alberta,,driving,2020-01-27,105.37
Yukon Territory,Yukon Territory,,driving,2020-01-18,105.35
Ontario,Toronto,,transit,2020-02-13,105.34
Ontario,Ottawa,,driving,2020-01-30,105.33
Quebec,Montreal,Montr̩al,walking,2020-02-18,105.32
New Brunswick,New Brunswick,,driving,2020-02-02,105.32
Alberta,Calgary,,driving,2020-02-06,105.3
Nova Scotia,Nova Scotia,,driving,2020-03-10,105.29
British Columbia,Vancouver,,walking,2020-01-14,105.24
Manitoba,Manitoba,,driving,2020-02-05,105.22
Ontario,Ottawa,,walking,2020-02-19,105.21
Alberta,Edmonton,,transit,2020-03-10,105.18
Yukon Territory,Yukon Territory,,driving,2020-02-19,105.17
Alberta,Alberta,,driving,2020-02-10,105.08
Quebec,Montreal,Montr̩al,transit,2020-02-27,105.07
British Columbia,British Columbia,,driving,2020-03-11,105.05
Ontario,Toronto,,transit,2020-02-18,105.01
Quebec,Montreal,Montr̩al,walking,2020-02-06,105
British Columbia,Vancouver,,driving,2020-02-25,104.99
Yukon Territory,Yukon Territory,,driving,2020-01-25,104.99
Alberta,Calgary,,walking,2020-02-23,104.94
Ontario,Ottawa,,walking,2020-01-25,104.9
British Columbia,Vancouver,,transit,2020-01-24,104.87
Ontario,Toronto,,walking,2020-03-02,104.85
British Columbia,British Columbia,,driving,2020-03-02,104.85
Alberta,Alberta,,driving,2020-02-24,104.82
Quebec,Montreal,Montr̩al,driving,2020-03-11,104.81
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-28,104.81
Quebec,Montreal,Montr̩al,walking,2020-02-04,104.77
Alberta,Calgary,,transit,2020-02-26,104.76
Alberta,Edmonton,,driving,2020-01-15,104.72
Saskatchewan,Saskatchewan,,driving,2020-02-16,104.71
Ontario,Toronto,,driving,2020-02-12,104.66
Alberta,Edmonton,,transit,2020-01-17,104.64
Quebec,Montreal,Montr̩al,driving,2020-02-25,104.64
Ontario,Toronto,,walking,2020-03-10,104.64
British Columbia,British Columbia,,driving,2020-03-13,104.63
British Columbia,Vancouver,,transit,2020-01-17,104.61
Ontario,Toronto,,driving,2020-01-22,104.59
Ontario,Ottawa,,driving,2020-01-28,104.58
Alberta,Edmonton,,driving,2020-03-02,104.57
Quebec,Montreal,Montr̩al,driving,2020-02-06,104.56
Quebec,Montreal,Montr̩al,transit,2020-02-22,104.54
Quebec,Montreal,Montr̩al,walking,2020-01-29,104.53
Ontario,Toronto,,driving,2020-01-30,104.53
Saskatchewan,Saskatchewan,,driving,2020-01-16,104.53
New Brunswick,New Brunswick,,driving,2020-01-15,104.52
Alberta,Calgary,,driving,2020-01-21,104.51
Alberta,Edmonton,,transit,2020-01-16,104.48
Ontario,Toronto,,walking,2020-01-28,104.44
New Brunswick,New Brunswick,,driving,2020-01-20,104.43
Ontario,Ontario,,driving,2020-01-14,104.43
Ontario,Toronto,,walking,2020-01-29,104.38
Quebec,Montreal,Montr̩al,driving,2020-01-30,104.35
Yukon Territory,Yukon Territory,,driving,2020-02-26,104.35
Ontario,Ottawa,,driving,2020-01-14,104.33
Saskatchewan,Saskatchewan,,driving,2020-02-09,104.31
Quebec,Montreal,Montr̩al,transit,2020-01-20,104.29
Prince Edward Island,Prince Edward Island,,driving,2020-01-15,104.29
New Brunswick,New Brunswick,,driving,2020-03-09,104.25
Quebec,Montreal,Montr̩al,transit,2020-01-15,104.22
Ontario,Ottawa,,driving,2020-01-15,104.19
Nova Scotia,Nova Scotia,,driving,2020-02-24,104.16
Prince Edward Island,Prince Edward Island,,driving,2020-03-14,104.16
Quebec,Montreal,Montr̩al,walking,2020-02-26,104.09
Ontario,Toronto,,transit,2020-01-22,104.07
Alberta,Calgary,,transit,2020-03-02,103.99
Ontario,Ontario,,driving,2020-01-22,103.97
British Columbia,British Columbia,,driving,2020-01-18,103.96
Alberta,Calgary,,driving,2020-03-03,103.94
Ontario,Ottawa,,walking,2020-03-11,103.94
Quebec,Montreal,Montr̩al,transit,2020-03-02,103.93
Manitoba,Manitoba,,driving,2020-02-24,103.92
Ontario,Ottawa,,transit,2020-01-15,103.9
Ontario,Ottawa,,walking,2020-03-02,103.87
British Columbia,Vancouver,,driving,2020-01-20,103.84
Alberta,Alberta,,driving,2020-03-09,103.81
Manitoba,Manitoba,,driving,2020-02-04,103.8
Alberta,Calgary,,driving,2020-02-12,103.78
New Brunswick,New Brunswick,,driving,2020-01-29,103.78
New Brunswick,New Brunswick,,driving,2020-02-04,103.74
Alberta,Calgary,,walking,2020-03-08,103.73
Manitoba,Manitoba,,driving,2020-01-28,103.73
Quebec,Montreal,Montr̩al,transit,2020-02-05,103.72
Ontario,Ottawa,,driving,2020-02-16,103.71
Ontario,Ontario,,driving,2020-02-11,103.68
British Columbia,British Columbia,,driving,2020-03-10,103.67
Alberta,Edmonton,,walking,2020-01-26,103.64
Alberta,Alberta,,driving,2020-03-12,103.63
Alberta,Calgary,,driving,2020-01-29,103.61
Ontario,Ottawa,,driving,2020-01-29,103.6
Nova Scotia,Nova Scotia,,driving,2020-02-25,103.6
Quebec,Quebec,Qu̩bec,driving,2020-02-26,103.6
Quebec,Quebec,Qu̩bec,driving,2020-03-12,103.57
Ontario,Toronto,,walking,2020-02-04,103.55
Yukon Territory,Yukon Territory,,driving,2020-02-04,103.54
Alberta,Edmonton,,driving,2020-03-13,103.52
Manitoba,Manitoba,,driving,2020-03-09,103.39
British Columbia,British Columbia,,driving,2020-02-24,103.37
Alberta,Calgary,,driving,2020-02-26,103.35
British Columbia,British Columbia,,driving,2020-02-05,103.33
Ontario,Ontario,,driving,2020-03-10,103.31
British Columbia,British Columbia,,driving,2020-03-09,103.3
Ontario,Ottawa,,walking,2020-03-10,103.29
Alberta,Calgary,,driving,2020-01-16,103.28
Ontario,Ottawa,,driving,2020-02-10,103.28
Quebec,Montreal,Montr̩al,walking,2020-02-24,103.27
Quebec,Montreal,Montr̩al,transit,2020-02-01,103.2
Ontario,Ottawa,,transit,2020-01-14,103.2
British Columbia,Vancouver,,transit,2020-03-06,103.19
Quebec,Montreal,Montr̩al,walking,2020-01-14,103.16
Ontario,Toronto,,driving,2020-02-11,103.16
Ontario,Ontario,,driving,2020-01-15,103.14
Ontario,Ontario,,driving,2020-03-02,103.13
Quebec,Montreal,Montr̩al,driving,2020-02-17,103.11
British Columbia,British Columbia,,driving,2020-02-10,103.09
Alberta,Calgary,,driving,2020-02-25,103.07
British Columbia,Vancouver,,driving,2020-01-30,103.07
Saskatchewan,Saskatchewan,,driving,2020-03-01,103.07
Nova Scotia,Nova Scotia,,driving,2020-01-14,103.05
Quebec,Montreal,Montr̩al,walking,2020-01-27,103.04
Alberta,Calgary,,transit,2020-03-10,102.98
Alberta,Edmonton,,driving,2020-01-14,102.98
Ontario,Ottawa,,driving,2020-02-25,102.97
Ontario,Ottawa,,walking,2020-02-13,102.96
Alberta,Calgary,,driving,2020-01-28,102.95
Ontario,Toronto,,driving,2020-02-05,102.94
Ontario,Ontario,,driving,2020-01-29,102.92
Nova Scotia,Nova Scotia,,driving,2020-01-29,102.91
Prince Edward Island,Prince Edward Island,,driving,2020-02-11,102.91
British Columbia,British Columbia,,driving,2020-01-29,102.87
Prince Edward Island,Prince Edward Island,,driving,2020-01-29,102.87
British Columbia,Vancouver,,driving,2020-02-11,102.85
Nova Scotia,Nova Scotia,,driving,2020-02-11,102.83
Alberta,Edmonton,,walking,2020-02-23,102.78
Alberta,Edmonton,,driving,2020-01-27,102.72
Quebec,Montreal,Montr̩al,driving,2020-03-07,102.71
British Columbia,Vancouver,,driving,2020-03-03,102.7
Alberta,Alberta,,driving,2020-02-03,102.7
Ontario,Toronto,,transit,2020-01-23,102.69
Ontario,Toronto,,transit,2020-02-22,102.69
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-24,102.68
New Brunswick,New Brunswick,,driving,2020-01-16,102.65
Saskatchewan,Saskatchewan,,driving,2020-01-26,102.65
Quebec,Montreal,Montr̩al,driving,2020-02-08,102.63
New Brunswick,New Brunswick,,driving,2020-01-14,102.62
Quebec,Montreal,Montr̩al,transit,2020-02-18,102.58
Alberta,Alberta,,driving,2020-01-15,102.55
Yukon Territory,Yukon Territory,,driving,2020-02-06,102.54
Ontario,Toronto,,driving,2020-03-02,102.49
Alberta,Edmonton,,driving,2020-02-10,102.48
Ontario,Toronto,,driving,2020-03-10,102.48
Ontario,Ottawa,,walking,2020-01-14,102.42
Ontario,Toronto,,driving,2020-01-15,102.42
Nova Scotia,Nova Scotia,,driving,2020-01-21,102.42
Ontario,Toronto,,transit,2020-01-14,102.39
Alberta,Edmonton,,driving,2020-03-12,102.34
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-02-10,102.29
Alberta,Calgary,,driving,2020-02-04,102.19
Alberta,Calgary,,transit,2020-03-11,102.18
